split,file,SSIM,Edge_IoU,L1
repair,repair_03,0.7283410392177853,0.005319148936170213,15.59747314453125
repair,repair_01,0.8693025709182707,0.4147257700976709,7.374094009399414
repair,repair_02,0.9399328120440016,0.1973534109057723,4.18621826171875
replace,replace_03,0.8055914315009304,0.22831185017547312,5.833323955535889
replace,replace_02,0.44778895274653335,0.02806706047051593,17.670320510864258
replace,replace_01,0.7569814784463329,0.14652223489167618,7.743406295776367
AVG,AVG,0.7579897141456424,0.17004991257954646,9.734139362970987
