Experiment_ID,Dataset_Type,Method_GAC,Method_Crop,YOLO_Version,Backbone,Accuracy_Mean,Accuracy_Std,Note
052,Hybird,TRUE,TRUE,YOLOv4,ResNet152,90.33 ,0.007 ,Proposed Method
053,Hybird,TRUE,TRUE,YOLOv4,MobileNetV1,90.93 ,0.003 ,Proposed Method
054,Hybird,TRUE,TRUE,YOLOv4,MobileNetV2,91.26 ,0.011 ,Proposed Method
055,Hybird,TRUE,TRUE,YOLOv4,MobileNetV3,89.06 ,0.008 ,Proposed Method
056,Hybird,TRUE,TRUE,YOLOv5,VGG16,93.40 ,0.009 ,Proposed Method
057,Hybird,TRUE,TRUE,YOLOv5,ResNet152,91.57 ,0.008 ,Proposed Method
058,Hybird,TRUE,TRUE,YOLOv5,MobileNetV1,92.53 ,0.006 ,Proposed Method
059,Hybird,TRUE,TRUE,YOLOv5,MobileNetV2,91.87 ,0.007 ,Proposed Method
060,Hybird,TRUE,TRUE,YOLOv5,MobileNetV3,90.50 ,0.006 ,Proposed Method
061,Hybird,TRUE,TRUE,YOLOv8s,VGG16,91.84 ,0.013 ,Proposed Method
062,Hybird,TRUE,TRUE,YOLOv8s,ResNet152,92.51 ,0.006 ,Proposed Method
063,Hybird,TRUE,TRUE,YOLOv8s,MobileNetV1,91.95 ,0.007 ,Proposed Method
064,Hybird,TRUE,TRUE,YOLOv8s,MobileNetV2,92.06 ,0.009 ,Proposed Method
065,Hybird,TRUE,TRUE,YOLOv8s,MobileNetV3,88.43 ,0.009 ,Proposed Method
066,Hybird,TRUE,TRUE,YOLOv8m,VGG16,90.67 ,0.016 ,Proposed Method
067,Hybird,TRUE,TRUE,YOLOv8m,ResNet152,93.22 ,0.013 ,Proposed Method
068,Hybird,TRUE,TRUE,YOLOv8m,MobileNetV1,93.12 ,0.013 ,Proposed Method
069,Hybird,TRUE,TRUE,YOLOv8m,MobileNetV2,92.44 ,0.010 ,Proposed Method
070,Hybird,TRUE,TRUE,YOLOv8m,MobileNetV3,91.80 ,0.013 ,Proposed Method
071,Hybird,TRUE,TRUE,YOLOv8l,VGG16,87.58 ,0.012 ,Proposed Method
072,Hybird,TRUE,TRUE,YOLOv8l,ResNet152,89.74 ,0.011 ,Proposed Method
073,Hybird,TRUE,TRUE,YOLOv8l,MobileNetV1,89.23 ,0.007 ,Proposed Method
074,Hybird,TRUE,TRUE,YOLOv8l,MobileNetV2,85.15 ,0.014 ,Proposed Method
075,Hybird,TRUE,TRUE,YOLOv8l,MobileNetV3,88.34 ,0.006 ,Proposed Method
076,Hybird,TRUE,TRUE,YOLOv8x,VGG16,85.54 ,0.017 ,Proposed Method
077,Hybird,TRUE,TRUE,YOLOv8x,ResNet152,87.43 ,0.012 ,Proposed Method
078,Hybird,TRUE,TRUE,YOLOv8x,MobileNetV1,86.75 ,0.010 ,Proposed Method
079,Hybird,TRUE,TRUE,YOLOv8x,MobileNetV2,82.97 ,0.015 ,Proposed Method
080,Hybird,TRUE,TRUE,YOLOv8x,MobileNetV3,86.21 ,0.017 ,Proposed Method
